Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x5_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,5,2,2,1,16,8,16,80,1024,513835008,26717716480,1.27668,374.835,20927.4
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x5_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,5,2,2,1,16,8,16,80,1024,513835008,26717716480,1.42195,336.542,18789.5
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x128_32x5_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,5,2,2,1,16,8,16,80,1024,513835008,26717716480,2.10592,227.238,12686.9
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x64_32x6_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,1.76741,270.761,15116.8
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x64_32x6_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,2.07288,230.861,12889.2
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_128x64_32x6_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,3.27179,146.265,8166.1
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,1.67426,285.826,15958
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,1.93022,247.923,13841.8
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,32,6,2,2,1,16,8,16,80,1024,513835008,26717716480,3.28958,145.473,8121.93
1,CUTLASS,conv2d,cutlass_tensorop_h16816fprop_optimized_64x64_32x10_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,64,32,10,2,2,1,16,8,16,80,1024,513835008,26717716480,2.31268,206.923,11552.7
